"sampleName","cellLine","numberCells","technique","ip","patient","treatment","experimentName","biologicalReplicate","technicalReplicate","filePath","genome","readType","readLength","controlSampleName","controlSampleFilePath","peakFile"
"K562_10K_CM_H3K27ME3_nan_nan_0_0_hg19","K562","10K","CM","H3K27ME3",,,,0,0,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10K_CM_H3K27ME3_nan_nan_0_0_hg19.trimmed.bowtie2.shifted.dups.bam","hg19","SE",50,"K562_10K_CM_IGG_nan_nan_0_0_hg19","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10K_CM_IGG_nan_nan_0_0_hg19.trimmed.bowtie2.shifted.dups.bam","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/peaks/K562_10K_CM_H3K27ME3_nan_nan_0_0_hg19/K562_10K_CM_H3K27ME3_nan_nan_0_0_hg19_peaks.broadPeak"
"K562_10K_CM_H3K27ME3_nan_nan_1_0_hg19","K562","10K","CM","H3K27ME3",,,,1,0,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10K_CM_H3K27ME3_nan_nan_1_0_hg19.trimmed.bowtie2.shifted.dups.bam","hg19","SE",50,"K562_10K_CM_IGG_nan_nan_3_0_hg19","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10K_CM_IGG_nan_nan_3_0_hg19.trimmed.bowtie2.shifted.dups.bam","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/peaks/K562_10K_CM_H3K27ME3_nan_nan_1_0_hg19/K562_10K_CM_H3K27ME3_nan_nan_1_0_hg19_peaks.broadPeak"
"K562_10K_CM_H3K27ME3_nan_nan_1_1_hg19","K562","10K","CM","H3K27ME3",,,"CM11-6",1,1,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10K_CM_H3K27ME3_nan_nan_1_1_hg19.trimmed.bowtie2.shifted.dups.bam","hg19","SE",50,"K562_10K_CM_IGG_nan_nan_3_0_hg19","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10K_CM_IGG_nan_nan_3_0_hg19.trimmed.bowtie2.shifted.dups.bam","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/peaks/K562_10K_CM_H3K27ME3_nan_nan_1_1_hg19/K562_10K_CM_H3K27ME3_nan_nan_1_1_hg19_peaks.broadPeak"
"K562_10K_CM_H3K27ME3_nan_nan_1_2_hg19","K562","10K","CM","H3K27ME3",,,"CM11-6",1,2,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10K_CM_H3K27ME3_nan_nan_1_2_hg19.trimmed.bowtie2.shifted.dups.bam","hg19","SE",50,"K562_10K_CM_IGG_nan_nan_3_0_hg19","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10K_CM_IGG_nan_nan_3_0_hg19.trimmed.bowtie2.shifted.dups.bam","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/peaks/K562_10K_CM_H3K27ME3_nan_nan_1_2_hg19/K562_10K_CM_H3K27ME3_nan_nan_1_2_hg19_peaks.broadPeak"
"K562_10K_CM_H3K27ME3_nan_nan_2_0_hg19","K562","10K","CM","H3K27ME3",,,,2,0,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10K_CM_H3K27ME3_nan_nan_2_0_hg19.trimmed.bowtie2.shifted.dups.bam","hg19","SE",50,"K562_10K_CM_IGG_nan_nan_4_0_hg19","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10K_CM_IGG_nan_nan_4_0_hg19.trimmed.bowtie2.shifted.dups.bam","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/peaks/K562_10K_CM_H3K27ME3_nan_nan_2_0_hg19/K562_10K_CM_H3K27ME3_nan_nan_2_0_hg19_peaks.broadPeak"
"K562_10K_CM_H3K27ME3_nan_nan_2_1_hg19","K562","10K","CM","H3K27ME3",,,"CM12-6",2,1,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10K_CM_H3K27ME3_nan_nan_2_1_hg19.trimmed.bowtie2.shifted.dups.bam","hg19","SE",50,"K562_10K_CM_IGG_nan_nan_4_0_hg19","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10K_CM_IGG_nan_nan_4_0_hg19.trimmed.bowtie2.shifted.dups.bam","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/peaks/K562_10K_CM_H3K27ME3_nan_nan_2_1_hg19/K562_10K_CM_H3K27ME3_nan_nan_2_1_hg19_peaks.broadPeak"
"K562_10K_CM_H3K27ME3_nan_nan_2_2_hg19","K562","10K","CM","H3K27ME3",,,"CM12-6",2,2,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10K_CM_H3K27ME3_nan_nan_2_2_hg19.trimmed.bowtie2.shifted.dups.bam","hg19","SE",50,"K562_10K_CM_IGG_nan_nan_4_0_hg19","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10K_CM_IGG_nan_nan_4_0_hg19.trimmed.bowtie2.shifted.dups.bam","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/peaks/K562_10K_CM_H3K27ME3_nan_nan_2_2_hg19/K562_10K_CM_H3K27ME3_nan_nan_2_2_hg19_peaks.broadPeak"
"K562_1K_CM_H3K27ME3_nan_nan_1_1_hg19","K562","1K","CM","H3K27ME3",,,"CM17-4",1,1,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_1K_CM_H3K27ME3_nan_nan_1_1_hg19.trimmed.bowtie2.shifted.dups.bam","hg19","SE",50,"K562_1K_CM_IGG_nan_nan_1_1_hg19","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_1K_CM_IGG_nan_nan_1_1_hg19.trimmed.bowtie2.shifted.dups.bam","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/peaks/K562_1K_CM_H3K27ME3_nan_nan_1_1_hg19/K562_1K_CM_H3K27ME3_nan_nan_1_1_hg19_peaks.broadPeak"
"K562_3K_CM_H3K27ME3_nan_nan_0_0_hg19","K562","3K","CM","H3K27ME3",,,,0,0,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_3K_CM_H3K27ME3_nan_nan_0_0_hg19.trimmed.bowtie2.shifted.dups.bam","hg19","SE",50,,,
"K562_3K_CM_H3K27ME3_nan_nan_1_1_hg19","K562","3K","CM","H3K27ME3",,,"CM17-2",1,1,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_3K_CM_H3K27ME3_nan_nan_1_1_hg19.trimmed.bowtie2.shifted.dups.bam","hg19","SE",50,,,
"K562_3K_CM_H3K27ME3_nan_nan_2_1_hg19","K562","3K","CM","H3K27ME3",,,"CM18-2",2,1,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_3K_CM_H3K27ME3_nan_nan_2_1_hg19.trimmed.bowtie2.shifted.dups.bam","hg19","SE",50,,,
"K562_500K_CHIP_H3K27ME3_nan_nan_0_0_hg19","K562","500K","CHIP","H3K27ME3",,,,0,0,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_500K_CHIP_H3K27ME3_nan_nan_0_0_hg19.trimmed.bowtie2.dups.bam","hg19","SE",50,"K562_500K_CHIP_IGG_nan_nan_0_0_hg19","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_500K_CHIP_IGG_nan_nan_0_0_hg19.trimmed.bowtie2.dups.bam","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/peaks/K562_500K_CHIP_H3K27ME3_nan_nan_0_0_hg19/K562_500K_CHIP_H3K27ME3_nan_nan_0_0_hg19_peaks.broadPeak"
"K562_500K_CHIP_H3K27ME3_nan_nan_1_0_hg19","K562","500K","CHIP","H3K27ME3",,,,1,0,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_500K_CHIP_H3K27ME3_nan_nan_1_0_hg19.trimmed.bowtie2.dups.bam","hg19","SE",50,"K562_500K_CHIP_IGG_nan_nan_1_1_hg19","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_500K_CHIP_IGG_nan_nan_1_1_hg19.trimmed.bowtie2.dups.bam","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/peaks/K562_500K_CHIP_H3K27ME3_nan_nan_1_0_hg19/K562_500K_CHIP_H3K27ME3_nan_nan_1_0_hg19_peaks.broadPeak"
"K562_500K_CHIP_H3K27ME3_nan_nan_1_1_hg19","K562","500K","CHIP","H3K27ME3",,,"CM11-10",1,1,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_500K_CHIP_H3K27ME3_nan_nan_1_1_hg19.trimmed.bowtie2.dups.bam","hg19","SE",50,"K562_500K_CHIP_IGG_nan_nan_1_1_hg19","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_500K_CHIP_IGG_nan_nan_1_1_hg19.trimmed.bowtie2.dups.bam","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/peaks/K562_500K_CHIP_H3K27ME3_nan_nan_1_1_hg19/K562_500K_CHIP_H3K27ME3_nan_nan_1_1_hg19_peaks.broadPeak"
"K562_500K_CHIP_H3K27ME3_nan_nan_1_2_hg19","K562","500K","CHIP","H3K27ME3",,,"CM11-10",1,2,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_500K_CHIP_H3K27ME3_nan_nan_1_2_hg19.trimmed.bowtie2.dups.bam","hg19","SE",50,"K562_500K_CHIP_IGG_nan_nan_1_1_hg19","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_500K_CHIP_IGG_nan_nan_1_1_hg19.trimmed.bowtie2.dups.bam","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/peaks/K562_500K_CHIP_H3K27ME3_nan_nan_1_2_hg19/K562_500K_CHIP_H3K27ME3_nan_nan_1_2_hg19_peaks.broadPeak"
"K562_500K_CHIP_H3K27ME3_nan_nan_2_0_hg19","K562","500K","CHIP","H3K27ME3",,,,2,0,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_500K_CHIP_H3K27ME3_nan_nan_2_0_hg19.trimmed.bowtie2.dups.bam","hg19","SE",50,"K562_500K_CHIP_IGG_nan_nan_2_0_hg19","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_500K_CHIP_IGG_nan_nan_2_0_hg19.trimmed.bowtie2.dups.bam","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/peaks/K562_500K_CHIP_H3K27ME3_nan_nan_2_0_hg19/K562_500K_CHIP_H3K27ME3_nan_nan_2_0_hg19_peaks.broadPeak"
"K562_500K_CHIP_H3K27ME3_nan_nan_2_1_hg19","K562","500K","CHIP","H3K27ME3",,,"CM12-10",2,1,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_500K_CHIP_H3K27ME3_nan_nan_2_1_hg19.trimmed.bowtie2.dups.bam","hg19","SE",50,"K562_500K_CHIP_IGG_nan_nan_2_1_hg19","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_500K_CHIP_IGG_nan_nan_2_1_hg19.trimmed.bowtie2.dups.bam","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/peaks/K562_500K_CHIP_H3K27ME3_nan_nan_2_1_hg19/K562_500K_CHIP_H3K27ME3_nan_nan_2_1_hg19_peaks.broadPeak"
"K562_500K_CHIP_H3K27ME3_nan_nan_2_2_hg19","K562","500K","CHIP","H3K27ME3",,,"CM12-10",2,2,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_500K_CHIP_H3K27ME3_nan_nan_2_2_hg19.trimmed.bowtie2.dups.bam","hg19","SE",50,"K562_500K_CHIP_IGG_nan_nan_2_2_hg19","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_500K_CHIP_IGG_nan_nan_2_2_hg19.trimmed.bowtie2.dups.bam","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/peaks/K562_500K_CHIP_H3K27ME3_nan_nan_2_2_hg19/K562_500K_CHIP_H3K27ME3_nan_nan_2_2_hg19_peaks.broadPeak"
"K562_500K_CM_H3K27ME3_nan_nan_0_0_hg19","K562","500K","CM","H3K27ME3",,,,0,0,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_500K_CM_H3K27ME3_nan_nan_0_0_hg19.trimmed.bowtie2.shifted.dups.bam","hg19","SE",50,"K562_500K_CM_IGG_nan_nan_0_0_hg19","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_500K_CM_IGG_nan_nan_0_0_hg19.trimmed.bowtie2.shifted.dups.bam","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/peaks/K562_500K_CM_H3K27ME3_nan_nan_0_0_hg19/K562_500K_CM_H3K27ME3_nan_nan_0_0_hg19_peaks.broadPeak"
"K562_500K_CM_H3K27ME3_nan_nan_1_0_hg19","K562","500K","CM","H3K27ME3",,,,1,0,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_500K_CM_H3K27ME3_nan_nan_1_0_hg19.trimmed.bowtie2.shifted.dups.bam","hg19","SE",50,"K562_500K_CM_IGG_nan_nan_1_0_hg19","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_500K_CM_IGG_nan_nan_1_0_hg19.trimmed.bowtie2.shifted.dups.bam","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/peaks/K562_500K_CM_H3K27ME3_nan_nan_1_0_hg19/K562_500K_CM_H3K27ME3_nan_nan_1_0_hg19_peaks.broadPeak"
"K562_500K_CM_H3K27ME3_nan_nan_1_1_hg19","K562","500K","CM","H3K27ME3",,,"CM11-2",1,1,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_500K_CM_H3K27ME3_nan_nan_1_1_hg19.trimmed.bowtie2.shifted.dups.bam","hg19","SE",50,"K562_500K_CM_IGG_nan_nan_1_1_hg19","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_500K_CM_IGG_nan_nan_1_1_hg19.trimmed.bowtie2.shifted.dups.bam","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/peaks/K562_500K_CM_H3K27ME3_nan_nan_1_1_hg19/K562_500K_CM_H3K27ME3_nan_nan_1_1_hg19_peaks.broadPeak"
"K562_500K_CM_H3K27ME3_nan_nan_1_2_hg19","K562","500K","CM","H3K27ME3",,,"CM11-2",1,2,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_500K_CM_H3K27ME3_nan_nan_1_2_hg19.trimmed.bowtie2.shifted.dups.bam","hg19","SE",50,"K562_500K_CM_IGG_nan_nan_1_2_hg19","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_500K_CM_IGG_nan_nan_1_2_hg19.trimmed.bowtie2.shifted.dups.bam","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/peaks/K562_500K_CM_H3K27ME3_nan_nan_1_2_hg19/K562_500K_CM_H3K27ME3_nan_nan_1_2_hg19_peaks.broadPeak"
"K562_500K_CM_H3K27ME3_nan_nan_2_0_hg19","K562","500K","CM","H3K27ME3",,,,2,0,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_500K_CM_H3K27ME3_nan_nan_2_0_hg19.trimmed.bowtie2.shifted.dups.bam","hg19","SE",50,"K562_500K_CM_IGG_nan_nan_2_0_hg19","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_500K_CM_IGG_nan_nan_2_0_hg19.trimmed.bowtie2.shifted.dups.bam","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/peaks/K562_500K_CM_H3K27ME3_nan_nan_2_0_hg19/K562_500K_CM_H3K27ME3_nan_nan_2_0_hg19_peaks.broadPeak"
"K562_500K_CM_H3K27ME3_nan_nan_2_1_hg19","K562","500K","CM","H3K27ME3",,,"CM12-2",2,1,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_500K_CM_H3K27ME3_nan_nan_2_1_hg19.trimmed.bowtie2.shifted.dups.bam","hg19","SE",50,"K562_500K_CM_IGG_nan_nan_2_1_hg19","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_500K_CM_IGG_nan_nan_2_1_hg19.trimmed.bowtie2.shifted.dups.bam","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/peaks/K562_500K_CM_H3K27ME3_nan_nan_2_1_hg19/K562_500K_CM_H3K27ME3_nan_nan_2_1_hg19_peaks.broadPeak"
"K562_500K_CM_H3K27ME3_nan_nan_2_2_hg19","K562","500K","CM","H3K27ME3",,,"CM12-2",2,2,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_500K_CM_H3K27ME3_nan_nan_2_2_hg19.trimmed.bowtie2.shifted.dups.bam","hg19","SE",50,"K562_500K_CM_IGG_nan_nan_2_2_hg19","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_500K_CM_IGG_nan_nan_2_2_hg19.trimmed.bowtie2.shifted.dups.bam","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/peaks/K562_500K_CM_H3K27ME3_nan_nan_2_2_hg19/K562_500K_CM_H3K27ME3_nan_nan_2_2_hg19_peaks.broadPeak"
"wgEncodeBroadHistoneK562H3k27me3StdAln","K562",,"CHIP","H3K27ME3",,,"ENCODE",0,0,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/wgEncodeBroadHistoneK562H3k27me3StdAln.bam","hg19","SE",,"wgEncodeBroadHistoneK562ControlStdAlnRep1","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/wgEncodeBroadHistoneK562ControlStdAlnRep1.bam","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/peaks/wgEncodeBroadHistoneK562H3k27me3StdAln/wgEncodeBroadHistoneK562H3k27me3StdAln_peaks.narrowPeak"
"K562_10M_CHIP_H3K36ME3_nan_nan_0_0_hg19","K562","10M","CHIP","H3K36ME3",,,"CM24-8",0,0,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CHIP_H3K36ME3_nan_nan_1_1_hg19.trimmed.bowtie2.dups.bam","hg19","SE",50,"K562_10M_CHIP_IGG_nan_nan_3_1_hg19","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CHIP_IGG_nan_nan_3_1_hg19.trimmed.bowtie2.dups.bam","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/peaks/K562_10M_CHIP_H3K36ME3_nan_nan_1_1_hg19/K562_10M_CHIP_H3K36ME3_nan_nan_1_1_hg19_peaks.broadPeak"
"K562_10M_CHIP_H3K36ME3_nan_nan_1_1_hg19","K562","10M","CHIP","H3K36ME3",,,"CM24-8",1,1,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CHIP_H3K36ME3_nan_nan_1_1_hg19.trimmed.bowtie2.dups.bam","hg19","SE",50,"K562_10M_CHIP_IGG_nan_nan_3_1_hg19","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CHIP_IGG_nan_nan_3_1_hg19.trimmed.bowtie2.dups.bam","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/peaks/K562_10M_CHIP_H3K36ME3_nan_nan_1_1_hg19/K562_10M_CHIP_H3K36ME3_nan_nan_1_1_hg19_peaks.broadPeak"
"K562_10M_CM_H3K36ME3_nan_nan_1_1_hg19","K562","10M","CM","H3K36ME3",,,"CM24-3",1,1,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CM_H3K36ME3_nan_nan_1_1_hg19.trimmed.bowtie2.shifted.dups.bam","hg19","SE",50,"K562_10M_CM_IGG_nan_nan_4_1_hg19","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CM_IGG_nan_nan_4_1_hg19.trimmed.bowtie2.shifted.dups.bam","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/peaks/K562_10M_CM_H3K36ME3_nan_nan_1_1_hg19/K562_10M_CM_H3K36ME3_nan_nan_1_1_hg19_peaks.broadPeak"
"wgEncodeBroadHistoneK562H3k36me3StdAln","K562",,"CHIP","H3K36ME3",,,"ENCODE",0,0,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/wgEncodeBroadHistoneK562H3k36me3StdAln.bam","hg19","SE",,"wgEncodeBroadHistoneK562ControlStdAlnRep1","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/wgEncodeBroadHistoneK562ControlStdAlnRep1.bam","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/peaks/wgEncodeBroadHistoneK562H3k36me3StdAln/wgEncodeBroadHistoneK562H3k36me3StdAl_peaks.narrowPeak"
"K562_10M_CM_H3K36ME3_nan_nan_0_0_hg19","K562","10M","CM","H3K36ME3",,,,0,0,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CM_H3K36ME3_nan_nan_0_0_hg19.trimmed.bowtie2.shifted.dups.bam","hg19","SE",50,,,
"K562_10M_CM_H3K36ME3_nan_nan_2_1_hg19","K562","10M","CM","H3K36ME3",,,"CM27-8",2,1,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CM_H3K36ME3_nan_nan_2_1_hg19.trimmed.bowtie2.shifted.dups.bam","hg19","SE",50,,,
"K562_10M_ATAC_H3K4ME1_nan_PE_1_1_hg19","K562","10M","ATAC","H3K4ME1",,"PE","CM26-16",1,1,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_ATAC_H3K4ME1_nan_PE_1_1_hg19.trimmed.bowtie2.shifted.dups.bam","hg19","PE",100,,,
"K562_10M_CM_H3K4ME1_nan_PE_1_1_hg19","K562","10M","CM","H3K4ME1",,"PE","CM26-15",1,1,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CM_H3K4ME1_nan_PE_1_1_hg19.trimmed.bowtie2.shifted.dups.bam","hg19","PE",100,"K562_10M_CM_PU1_nan_nan_0_0_hg19","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CM_PU1_nan_nan_0_0_hg19.trimmed.bowtie2.shifted.dups.bam","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/peaks/K562_10M_CM_H3K4ME1_nan_PE_1_1_hg19/K562_10M_CM_H3K4ME1_nan_PE_1_1_hg19_peaks.narrowPeak"
"K562_10M_CHIP_H3K4ME1_nan_nan_0_0_hg19","K562","10M","CHIP","H3K4ME1",,,,0,0,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CHIP_H3K4ME1_nan_nan_1_0_hg19.trimmed.bowtie2.dups.bam","hg19","SE",50,"K562_10M_CHIP_IGG_nan_nan_3_1_hg19","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CHIP_IGG_nan_nan_3_1_hg19.trimmed.bowtie2.dups.bam","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/peaks/K562_10M_CHIP_H3K4ME1_nan_nan_1_0_hg19/K562_10M_CHIP_H3K4ME1_nan_nan_1_0_hg19_peaks.narrowPeak"
"K562_10M_CHIP_H3K4ME1_nan_nan_1_0_hg19","K562","10M","CHIP","H3K4ME1",,,,1,0,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CHIP_H3K4ME1_nan_nan_1_0_hg19.trimmed.bowtie2.dups.bam","hg19","SE",50,"K562_10M_CHIP_IGG_nan_nan_3_1_hg19","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CHIP_IGG_nan_nan_3_1_hg19.trimmed.bowtie2.dups.bam","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/peaks/K562_10M_CHIP_H3K4ME1_nan_nan_1_0_hg19/K562_10M_CHIP_H3K4ME1_nan_nan_1_0_hg19_peaks.narrowPeak"
"K562_10M_CHIP_H3K4ME1_nan_nan_1_1_hg19","K562","10M","CHIP","H3K4ME1",,,"CM22-9",1,1,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CHIP_H3K4ME1_nan_nan_1_1_hg19.trimmed.bowtie2.dups.bam","hg19","SE",50,"K562_10M_CHIP_IGG_nan_nan_3_1_hg19","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CHIP_IGG_nan_nan_3_1_hg19.trimmed.bowtie2.dups.bam","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/peaks/K562_10M_CHIP_H3K4ME1_nan_nan_1_1_hg19/K562_10M_CHIP_H3K4ME1_nan_nan_1_1_hg19_peaks.narrowPeak"
"K562_10M_CHIP_H3K4ME1_nan_nan_2_1_hg19","K562","10M","CHIP","H3K4ME1",,,"CM24-7",2,1,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CHIP_H3K4ME1_nan_nan_2_1_hg19.trimmed.bowtie2.dups.bam","hg19","SE",50,"K562_10M_CHIP_IGG_nan_nan_3_1_hg19","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CHIP_IGG_nan_nan_3_1_hg19.trimmed.bowtie2.dups.bam","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/peaks/K562_10M_CHIP_H3K4ME1_nan_nan_1_1_hg19/K562_10M_CHIP_H3K4ME1_nan_nan_2_1_hg19_peaks.narrowPeak"
"K562_10M_CHIP_H3K4ME1_nan_nan_1_2_hg19","K562","10M","CHIP","H3K4ME1",,,"CM22-9",1,2,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CHIP_H3K4ME1_nan_nan_1_2_hg19.trimmed.bowtie2.dups.bam","hg19","SE",50,"K562_10M_CHIP_IGG_nan_nan_3_1_hg19","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CHIP_IGG_nan_nan_3_1_hg19.trimmed.bowtie2.dups.bam","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/peaks/K562_10M_CHIP_H3K4ME1_nan_nan_1_2_hg19/K562_10M_CHIP_H3K4ME1_nan_nan_1_2_hg19_peaks.narrowPeak"
"K562_10M_CM_H3K4ME1_nan_nan_0_0_hg19","K562","10M","CM","H3K4ME1",,,,0,0,"/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CM_H3K4ME1_nan_nan_0_0_hg19.trimmed.bowtie2.shifted.dups.bam","hg19","SE",50,"K562_10M_CM_IGG_nan_nan_0_0_hg19","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/mapped/K562_10M_CM_IGG_nan_nan_0_0_hg19.trimmed.bowtie2.shifted.dups.bam","/fhgfs/groups/lab_bock/shared/projects/chipmentation/data/peaks/K562_10M_CM_H3K4ME1_nan_nan_0_0_hg19/K562_10M_CM_H3K4ME1_nan_nan_0_0_hg19_peaks.narrowPeak"
